trial_id,trial_type,condition,chain_index,initial_hypothesis,final_hypothesis,final_length,response_type,additive_moves,subtractive_moves,accuracy
A3,additive,p_add=0.5_steps=50_temp=1.0,22,square,,0,subtractive,3,4,1.0
A3,additive,p_add=0.5_steps=50_temp=1.0,23,square,,0,subtractive,2,3,1.0
A3,additive,p_add=0.5_steps=50_temp=1.0,24,square,,0,subtractive,3,4,1.0
A3,additive,p_add=0.5_steps=50_temp=1.0,25,square,,0,subtractive,2,3,1.0
A3,additive,p_add=0.5_steps=50_temp=1.0,26,square,,0,subtractive,2,3,1.0
A3,additive,p_add=0.5_steps=50_temp=1.0,27,square,,0,subtractive,1,2,1.0
A3,additive,p_add=0.5_steps=50_temp=1.0,28,square,square,1,nochange,3,3,1.0
A3,additive,p_add=0.5_steps=50_temp=1.0,29,square,,0,subtractive,2,3,1.0
S4,subtractive,p_add=0.5_steps=50_temp=1.0,0,big;striped;circle,striped;circle,2,subtractive,3,4,1.0
S4,subtractive,p_add=0.5_steps=50_temp=1.0,1,big;striped;circle,striped;circle,2,subtractive,3,4,1.0
S4,subtractive,p_add=0.5_steps=50_temp=1.0,2,big;striped;circle,striped;circle,2,subtractive,4,5,1.0
S4,subtractive,p_add=0.5_steps=50_temp=1.0,3,big;striped;circle,striped;circle,2,subtractive,4,5,1.0
S4,subtractive,p_add=0.5_steps=50_temp=1.0,4,big;striped;circle,striped;circle;big,3,nochange,2,2,1.0
S4,subtractive,p_add=0.5_steps=50_temp=1.0,5,big;striped;circle,striped;circle;blue,3,mixed,2,2,0.8333333333333334
S4,subtractive,p_add=0.5_steps=50_temp=1.0,6,big;striped;circle,striped;circle,2,subtractive,4,5,1.0
S4,subtractive,p_add=0.5_steps=50_temp=1.0,7,big;striped;circle,striped;circle,2,subtractive,2,3,1.0
S4,subtractive,p_add=0.5_steps=50_temp=1.0,8,big;striped;circle,striped;circle,2,subtractive,5,6,1.0
